course_code,course_name,link
ANT 306,Anthropology of Performance,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3136?entityType=Course&reportId=422
ANT 312,The Anthropology of Conflict,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3192?entityType=Course&reportId=422
ANT 313,Islam and Politics in Eurasia,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3193?entityType=Course&reportId=422
ANT 314,Politics of Identity in Eurasia,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3194?entityType=Course&reportId=422
ANT 316,Bazaars and Museums: Material and Cultural Heritage in Central Asia and Beyond,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3137?entityType=Course&reportId=422
ANT 331,Archaeology of Power and Inequality,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3015?entityType=Course&reportId=422
ANT 333,Anthropology of Space,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3053?entityType=Course&reportId=422
ANT 340,Method and Theory in Archaeology,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3017?entityType=Course&reportId=422
ANT 345,Archaeology Field School,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3018?entityType=Course&reportId=422
ANT 361,"Human Evolution: Bones, Stones and Genomes",https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3052?entityType=Course&reportId=422
ANT 375,Inner Asian Frontiers of China: A Cultural Perspective,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3179?entityType=Course&reportId=422
ANT 380,Linguistic and Cultural Diversity in Contemporary China: From Beijing to Xinjiang,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3180?entityType=Course&reportId=422
ANT 385,Postcolonial Theory and its Applications in Eurasia,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2405?entityType=Course&reportId=422
ANT 386,Social Challenges of Climate Change,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2942?entityType=Course&reportId=422
ANT 399,Special Topics in Anthropology,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3094?entityType=Course&reportId=422
ANT 400,Research Assistance in Anthropology,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3054?entityType=Course&reportId=422
ANT 401,Research Assistance in Anthropology,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3055?entityType=Course&reportId=422
ANT 402,Research Assistance in Anthropology,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3056?entityType=Course&reportId=422
ANT 403,Research Assistance in Anthropology,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3057?entityType=Course&reportId=422
ANT 404,Research Assistance in Anthropology,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3058?entityType=Course&reportId=422
ANT 412,Approaches to Global Development,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3023?entityType=Course&reportId=422
ANT 420,Materiality and Eurasian Society,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3014?entityType=Course&reportId=422
ANT 421,Sport and Construction of Identity,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3197?entityType=Course&reportId=422
ANT 435,The Archaeology of Ritual,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2877?entityType=Course&reportId=422
ANT 440,Skeletal Materials for Archaeologists,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3049?entityType=Course&reportId=422
ANT 475,Digital Ethnographies,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3024?entityType=Course&reportId=422
ANT 481,Anthropology of Entrepreneurship,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3025?entityType=Course&reportId=422
ANT 482,"Climate Change, Future Energy, and Sustainability",https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3026?entityType=Course&reportId=422
ANT 483,Applied Public Heritage,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2878?entityType=Course&reportId=422
ANT 498,Capstone Seminar I,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2581?entityType=Course&reportId=422
ANT 499,Capstone Seminar II,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2401?entityType=Course&reportId=422
ANT 506,Anthropology of Performance,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3138?entityType=Course&reportId=422
ANT 520,Materiality and Eurasian Society,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3013?entityType=Course&reportId=422
ANT 521,Sport and Construction of Identity,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3196?entityType=Course&reportId=422
ANT 535,The Archaeology of Ritual,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2876?entityType=Course&reportId=422
ANT 585,Postcolonial Theory and Its Application in Eurasia,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2402?entityType=Course&reportId=422
BBA 201,Management and Organizations,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/356?entityType=Course&reportId=422
BBA 202,Business Communication,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/352?entityType=Course&reportId=422
BBA 203,Responsible Leadership (Ethics),https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/353?entityType=Course&reportId=422
BBA 208,Data Analytics for Business,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/1358?entityType=Course&reportId=422
BBA 209,"Environmental, Social and Governance Factors (ESG) for Business",https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/359?entityType=Course&reportId=422
BBA 210,Fundamentals of Marketing,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/1329?entityType=Course&reportId=422
BBA 230,Entrepreneurship,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/1330?entityType=Course&reportId=422
BBA 240,Strategy,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/357?entityType=Course&reportId=422
BBA 260,Operations Management,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/361?entityType=Course&reportId=422
BBA 310,BBA Elective I,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/362?entityType=Course&reportId=422
BBA 320,BBA Elective IV,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/363?entityType=Course&reportId=422
BBA 321,BBA Elective II,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/364?entityType=Course&reportId=422
BBA 361,BBA Elective III,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/365?entityType=Course&reportId=422
BBA 399,Internship,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/366?entityType=Course&reportId=422
BBA 499,Capstone,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/355?entityType=Course&reportId=422
BIOL 101,Introductory Biology,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2500?entityType=Course&reportId=422
BIOL 105,General Biology,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3003?entityType=Course&reportId=422
BIOL 110,Modern Biology I,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3004?entityType=Course&reportId=422
BIOL 110L,Modern Biology I Laboratory,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2501?entityType=Course&reportId=422
BIOL 120,Modern Biology II,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3281?entityType=Course&reportId=422
BIOL 120L,Modern Biology II Laboratory,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2368?entityType=Course&reportId=422
BIOL 230,Human Anatomy and Physiology I,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3177?entityType=Course&reportId=422
BIOL 301,Molecular Cell Biology,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2806?entityType=Course&reportId=422
BIOL 301L,Molecular Cell Biology Laboratory,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3040?entityType=Course&reportId=422
BIOL 305,Introduction to Microbiology,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2566?entityType=Course&reportId=422
BIOL 305L,Introduction to Microbiology Laboratory,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2567?entityType=Course&reportId=422
BIOL 310,Immunology,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3151?entityType=Course&reportId=422
BIOL 320,Developmental Biology,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3280?entityType=Course&reportId=422
BIOL 321,Bioethics,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3008?entityType=Course&reportId=422
BIOL 331,Human Anatomy and Physiology II,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3175?entityType=Course&reportId=422
BIOL 331L,Human Anatomy and Physiology II Laboratory,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3176?entityType=Course&reportId=422
BIOL 333,Environmental Biology,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2971?entityType=Course&reportId=422
BIOL 340,Introduction to Bioinformatics with Lab,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3229?entityType=Course&reportId=422
BIOL 341,Biochemistry I,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3155?entityType=Course&reportId=422
BIOL 341L,Biochemistry I Laboratory,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3156?entityType=Course&reportId=422
BIOL 355,Critical Research Reasoning,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3009?entityType=Course&reportId=422
BIOL 363,Structural Bioinformatics,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2702?entityType=Course&reportId=422
BIOL 370,Genetics,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3277?entityType=Course&reportId=422
BIOL 370L,Genetics Laboratory,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3168?entityType=Course&reportId=422
BIOL 380,Biology of Behavior,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3171?entityType=Course&reportId=422
BIOL 385,Cell Signaling: Principles and Mechanisms,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3276?entityType=Course&reportId=422
BIOL 392,Directed Study in Biology,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3172?entityType=Course&reportId=422
BIOL 399,Biology Internship,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2681?entityType=Course&reportId=422
BIOL 425,Biomedical Research Methods,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2656?entityType=Course&reportId=422
BIOL 430,Histology with Laboratory,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3278?entityType=Course&reportId=422
BIOL 440,Neuroscience,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3002?entityType=Course&reportId=422
BIOL 444,Stem Cell Biology and Applications,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2759?entityType=Course&reportId=422
BIOL 445,Medical Microbiology,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3275?entityType=Course&reportId=422
BIOL 450,Food Microbiology,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2568?entityType=Course&reportId=422
BIOL 450L,Food Microbiology Lab,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2569?entityType=Course&reportId=422
BIOL 452,Biology of Cancer,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2682?entityType=Course&reportId=422
BIOL 456,Biology Research Design,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2683?entityType=Course&reportId=422
BIOL 460,Human Parasitology,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3279?entityType=Course&reportId=422
BIOL 468,Integrated Cell Biology,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2760?entityType=Course&reportId=422
BIOL 470,Advanced Cell Biology,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2803?entityType=Course&reportId=422
BIOL 471,Light and Electron Microscopy Concepts and Techniques,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2804?entityType=Course&reportId=422
BIOL 471L,Light and Electron Microscopy Concepts and Techniques-Lab,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3042?entityType=Course&reportId=422
BIOL 480,Molecular Immunology,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3154?entityType=Course&reportId=422
BIOL 481,Neuroimmunology,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2685?entityType=Course&reportId=422
BIOL 490,Honors Thesis Research,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3000?entityType=Course&reportId=422
BIOL 491,Honors Thesis,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3001?entityType=Course&reportId=422
BIOL 492,Research Experience in Biology,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2684?entityType=Course&reportId=422
BIOL 502,Research Methods and Bioethics,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3169?entityType=Course&reportId=422
BIOL 520,Statistical Methods in Life Sciences,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3170?entityType=Course&reportId=422
BIOL 550,Structural and Molecular Biology in Health and Disease,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2975?entityType=Course&reportId=422
BIOL 560,Molecular Biology of Prokaryotic Cells,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2570?entityType=Course&reportId=422
BIOL 570,Advanced Biotechnology,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2805?entityType=Course&reportId=422
BIOL 580,Applied Bioinformatics,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3231?entityType=Course&reportId=422
BIOL 590,Research Design and Project Planning,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2700?entityType=Course&reportId=422
BIOL 591,Cellular Biophysics,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2976?entityType=Course&reportId=422
BIOL 592,Graduate Research Seminar,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2977?entityType=Course&reportId=422
BIOL 599,Master’s Thesis Research,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2701?entityType=Course&reportId=422
BIOL 605,Radiation Biology,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3010?entityType=Course&reportId=422
BIOL 606,Advanced Environmental Biology,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2974?entityType=Course&reportId=422
BIOL 623,Advanced Immunology,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3152?entityType=Course&reportId=422
BIOL 630,Advanced Neuroscience,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3174?entityType=Course&reportId=422
BIOL 631,Synthetic Biology,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2703?entityType=Course&reportId=422
BIOL 632,Drug Discovery and Design,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2704?entityType=Course&reportId=422
BIOL 634,Advanced Cancer Biology,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2655?entityType=Course&reportId=422
BIOL 637,Fundamentals of Advanced Microscopy,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2802?entityType=Course&reportId=422
BIOL 637L,Fundamentals of Advanced Microscopy,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3041?entityType=Course&reportId=422
BIOL 670,Gene Therapy,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2756?entityType=Course&reportId=422
BIOL 675,Regenerative Medicine,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2757?entityType=Course&reportId=422
BIOL 691,Master’s Thesis Research Proposal,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3256?entityType=Course&reportId=422
BIOL 692,Master's Thesis,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3011?entityType=Course&reportId=422
BIOL 800,Doctoral Thesis,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2705?entityType=Course&reportId=422
BIOL 800,0 Thesis Research,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3153?entityType=Course&reportId=422
BIOL 805,Radiation Biology,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3012?entityType=Course&reportId=422
BIOL 820,Statistical Methods in Life Sciences,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3167?entityType=Course&reportId=422
BIOL 830,Advanced Neuroscience,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3173?entityType=Course&reportId=422
BIOL 831,Synthetic Biology,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2706?entityType=Course&reportId=422
BIOL 832,Drug Discovery and Design,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2707?entityType=Course&reportId=422
BIOL 834,Advanced Cancer Biology,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2654?entityType=Course&reportId=422
BIOL 837,Advanced Optical and Electron Microscopy,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2800?entityType=Course&reportId=422
BIOL 850,Structural and Molecular Biology in Health and Disease,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2972?entityType=Course&reportId=422
BIOL 860,Molecular Biology of Prokaryotic Cells,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2571?entityType=Course&reportId=422
BIOL 870,Advanced Biotechnology,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2801?entityType=Course&reportId=422
BIOL 875,Gene Therapy,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2758?entityType=Course&reportId=422
BIOL 880,Applied Bioinformatics,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3230?entityType=Course&reportId=422
BIOL 891,Cellular Biophysics,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2973?entityType=Course&reportId=422
BUS 101,Core Course in Business,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/368?entityType=Course&reportId=422
BUS 420,Business Law,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/724?entityType=Course&reportId=422
CEE 200,Structural Mechanics I,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/946?entityType=Course&reportId=422
CEE 201,Environmental Chemistry,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/1172?entityType=Course&reportId=422
CEE 202,Environmental Engineering,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/1304?entityType=Course&reportId=422
CEE 203,Structural Analysis,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/1047?entityType=Course&reportId=422
CEE 204,Civil Engineering CAD and Surveying,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/953?entityType=Course&reportId=422
CEE 300,Structural Design - Concrete,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/1242?entityType=Course&reportId=422
CEE 301,Structural Design - Steel,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/1028?entityType=Course&reportId=422
CEE 302,Geotechnical Engineering,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/1278?entityType=Course&reportId=422
CEE 303,Geotechnical Design,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/1279?entityType=Course&reportId=422
CEE 304,Fluid Mechanics,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/1060?entityType=Course&reportId=422
CEE 305,Hydraulics and Hydrology,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/1061?entityType=Course&reportId=422
CEE 306,Civil Engineering Materials,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/995?entityType=Course&reportId=422
CEE 350,Water and Wastewater Treatment Processes,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/1295?entityType=Course&reportId=422
CEE 351,Application of Geomatics in Civil Engineering,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/998?entityType=Course&reportId=422
CEE 352,Engineering Geology,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/1171?entityType=Course&reportId=422
CEE 400,Transportation Engineering,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/996?entityType=Course&reportId=422
CEE 401,Construction Technology and Management,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/861?entityType=Course&reportId=422
CEE 450,Behavior and Design of Structural System,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/1026?entityType=Course&reportId=422
CEE 454,Foundation Engineering,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3429?entityType=Course&reportId=422
CEE 455,Solid & Hazardous Waste Management,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/1170?entityType=Course&reportId=422
CEE 457,Air Quality Management,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/1062?entityType=Course&reportId=422
CEE 458,Modern Information Technology in Construction,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/903?entityType=Course&reportId=422
CEE 460,Water Supply and Distribution Management,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/1063?entityType=Course&reportId=422
CEE 462,Pavement Design and Performance,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/997?entityType=Course&reportId=422
CEE 463,Individual Research Project in Civil & Environmental Engineering 1,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/1087?entityType=Course&reportId=422
CEE 464,Individual Research Project in Civil and Environmental Engineering II,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/1088?entityType=Course&reportId=422
CEE 465,Structure and Properties of Concrete Materials,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/1243?entityType=Course&reportId=422
CEE 466,Introduction to Finite Element Methods,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3446?entityType=Course&reportId=422
CEE 467,Building Information Modelling for Geotechnical Engineering,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/904?entityType=Course&reportId=422
CEE 468,Structural Design – Concrete II,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/1244?entityType=Course&reportId=422
CHEM 090,Chemistry for Non-Science Majors,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3122?entityType=Course&reportId=422
CHEM 091,Survey of Physical Science,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3157?entityType=Course&reportId=422
CHEM 092,Survey of Environmental Sciences for Non-Science Majors,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3121?entityType=Course&reportId=422
CHEM 101,General Chemistry I,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2892?entityType=Course&reportId=422
CHEM 101L,General Chemistry I Lab,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3080?entityType=Course&reportId=422
CHEM 102,General Chemistry II,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2921?entityType=Course&reportId=422
CHEM 189C,Independent Study,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2922?entityType=Course&reportId=422
CHEM 211,Organic Chemistry I,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2632?entityType=Course&reportId=422
CHEM 211L,Organic Chemistry I Lab,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2633?entityType=Course&reportId=422
CHEM 212,Organic Chemistry II,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2792?entityType=Course&reportId=422
CHEM 212L,Organic Chemistry II Lab,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2793?entityType=Course&reportId=422
CHEM 220,Quantitative Chemical Analysis,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3075?entityType=Course&reportId=422
CHEM 220L,Quantitative Chemical Analysis Lab,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2408?entityType=Course&reportId=422
CHEM 250,Descriptive Inorganic Chemistry,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3158?entityType=Course&reportId=422
CHEM 320,Instrumental Analysis,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3076?entityType=Course&reportId=422
CHEM 320L,Instrumental Analysis Lab,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/3077?entityType=Course&reportId=422
CHEM 331,Physical Chemistry I,https://nukz.curriqunet.com/DynamicReports/AllFieldsReportByEntity/2764?entityType=Course&reportId=422
